R1_PWRUSB,27.80,-11.80,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,-17.50,-41.30,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,63.30,-2.70,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,60.90,-8.60,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,32.30,-2.50,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,72.10,-49.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,3.88,-6.83,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,-15.70,-37.40,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,-19.80,-40.30,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,-35.70,-21.50,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,-37.80,-21.50,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,-54.30,-5.70,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,-77.20,53.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,-14.60,-26.90,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,-21.00,54.00,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,-64.10,54.10,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,6.92,5.24,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,-39.10,54.11,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,-12.70,-26.90,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,-17.90,54.00,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,69.91,-44.40,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,-20.20,-42.10,180.00,,SJ
TP1,-74.73,15.70,0.00,TPTP20R,TP20R
TP10,-64.80,-15.60,0.00,TPTP20R,TP20R
TP11,-73.40,-15.60,0.00,TPTP20R,TP20R
TP12,-68.30,15.70,0.00,TPTP20R,TP20R
TP13,-13.72,-22.42,0.00,TPTP20R,TP20R
TP14,65.68,-5.50,0.00,TPTP20R,TP20R
TP15,-68.50,-15.60,0.00,TPTP20R,TP20R
TP16,-39.70,-25.70,0.00,TPTP20R,TP20R
TP17,-10.60,-23.50,0.00,TPTP20R,TP20R
TP2,-72.60,15.70,0.00,TPTP20R,TP20R
TP3,41.48,4.18,0.00,TPTP20R,TP20R
TP4,0.48,-9.70,0.00,TPTP20R,TP20R
TP5,79.58,9.32,0.00,TPTP20R,TP20R
TP6,-40.22,5.84,0.00,TPTP20R,TP20R
TP7,-40.80,-1.90,0.00,TPTP20R,TP20R
TP8,-71.00,-15.60,0.00,TPTP20R,TP20R
TP9,-77.20,15.70,0.00,TPTP20R,TP20R
U1,-49.40,0.00,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,-69.20,0.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,0.05,0.00,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,46.70,0.10,0.00,MAX17048G+T10,SON50P200X200X80-9N
